lot_id,lot_number,acres,status,builder_name,builder_short,builder_contact,builder_address,builder_phone,builder_email,builder_color,builder_border
1,1,,available,,,,,,,,
2,2,,available,,,,,,,,
3,3,,available,,,,,,,,
4,4,,available,,,,,,,,
5,5,,available,,,,,,,,
6,6,,available,,,,,,,,
7,7,,available,,,,,,,,
8,8,,available,,,,,,,,
9,9,,available,,,,,,,,
10,10,,available,,,,,,,,
11,11,,available,,,,,,,,
12,12,,available,,,,,,,,
13,13,,available,,,,,,,,
14,14,,available,,,,,,,,
15,15,,available,,,,,,,,
16,16,,available,,,,,,,,
17,17,,available,,,,,,,,
18,18,,available,,,,,,,,
19,19,,available,,,,,,,,
20,20,,available,,,,,,,,
21,21,,available,,,,,,,,
22,22,,available,,,,,,,,
23,23,,available,,,,,,,,
24,24,,available,,,,,,,,
25,25,,available,,,,,,,,
26,26,,available,,,,,,,,
27,27,,available,,,,,,,,
28,28,,available,,,,,,,,
29,29,,available,,,,,,,,
30,30,,available,,,,,,,,
31,31,,available,,,,,,,,
32,32,,available,,,,,,,,
33,33,,available,,,,,,,,
34,34,,available,,,,,,,,
35,35,,available,,,,,,,,
36,36,,available,,,,,,,,
37,37,,available,,,,,,,,
38,38,,available,,,,,,,,
39,39,,available,,,,,,,,
40,40,,available,,,,,,,,
41,41,,available,,,,,,,,
42,42,,available,,,,,,,,
43,43,,available,,,,,,,,
44,44,,available,,,,,,,,
45,45,,available,,,,,,,,
46,46,,available,,,,,,,,
47,47,,available,,,,,,,,
48,48,,available,,,,,,,,